# path	class	outlier_score
DS2GROCERIES\train\bacon\bacon.770.jpg	bacon	1.339
DS2GROCERIES\train\bacon\bacon.873.jpg	bacon	1.334
DS2GROCERIES\train\bacon\bacon.126.jpg	bacon	1.324
DS2GROCERIES\train\bacon\bacon.568.jpg	bacon	1.309
DS2GROCERIES\train\bacon\bacon.266.jpg	bacon	1.308
DS2GROCERIES\train\bacon\bacon.321.jpg	bacon	1.306
DS2GROCERIES\train\bacon\bacon.1281.jpg	bacon	1.306
DS2GROCERIES\train\bacon\bacon.1236.jpg	bacon	1.305
DS2GROCERIES\train\bacon\bacon.1189.jpg	bacon	1.305
DS2GROCERIES\train\bacon\bacon.145.jpg	bacon	1.304
DS2GROCERIES\train\bacon\bacon.897.jpg	bacon	1.303
DS2GROCERIES\train\bacon\bacon.810.jpg	bacon	1.302
DS2GROCERIES\train\bacon\bacon.693.jpg	bacon	1.301
DS2GROCERIES\train\bacon\bacon.345.jpg	bacon	1.300
DS2GROCERIES\train\bacon\bacon.936.jpg	bacon	1.298
DS2GROCERIES\train\bacon\bacon.111.jpg	bacon	1.294
DS2GROCERIES\train\bacon\bacon.1209.jpg	bacon	1.289
DS2GROCERIES\train\bacon\bacon.141.jpg	bacon	1.288
DS2GROCERIES\train\bacon\bacon.521.jpg	bacon	1.286
DS2GROCERIES\train\bacon\bacon.829.jpg	bacon	1.286
DS2GROCERIES\train\bacon\bacon.1121.jpg	bacon	1.283
DS2GROCERIES\train\bacon\bacon.45.jpg	bacon	1.281
DS2GROCERIES\train\bacon\bacon.132.jpg	bacon	1.279
DS2GROCERIES\train\bacon\bacon.401.jpg	bacon	1.279
DS2GROCERIES\train\bacon\bacon.1097.jpg	bacon	1.277
DS2GROCERIES\train\bacon\bacon.258.jpg	bacon	1.277
DS2GROCERIES\train\bacon\bacon.283.jpg	bacon	1.276
DS2GROCERIES\train\bacon\bacon.1090.jpg	bacon	1.272
DS2GROCERIES\train\bacon\bacon.525.jpg	bacon	1.271
DS2GROCERIES\train\bacon\bacon.759.jpg	bacon	1.271
DS2GROCERIES\train\bacon\bacon.73.jpg	bacon	1.271
DS2GROCERIES\train\bacon\bacon.698.jpg	bacon	1.271
DS2GROCERIES\train\bacon\bacon.187.jpg	bacon	1.268
DS2GROCERIES\train\bacon\bacon.351.jpg	bacon	1.268
DS2GROCERIES\train\bacon\bacon.1188.jpg	bacon	1.267
DS2GROCERIES\train\bacon\bacon.295.jpg	bacon	1.266
DS2GROCERIES\train\bacon\bacon.740.jpg	bacon	1.265
DS2GROCERIES\train\bacon\bacon.893.jpg	bacon	1.265
DS2GROCERIES\train\bacon\bacon.527.jpg	bacon	1.263
DS2GROCERIES\train\bacon\bacon.669.jpg	bacon	1.263
DS2GROCERIES\train\bacon\bacon.1153.jpg	bacon	1.263
DS2GROCERIES\train\bacon\bacon.688.jpg	bacon	1.262
DS2GROCERIES\train\bacon\bacon.490.jpg	bacon	1.261
DS2GROCERIES\train\bacon\bacon.895.jpg	bacon	1.261
DS2GROCERIES\train\bacon\bacon.764.jpg	bacon	1.260
DS2GROCERIES\train\bacon\bacon.749.jpg	bacon	1.260
DS2GROCERIES\train\bacon\bacon.869.jpg	bacon	1.259
DS2GROCERIES\train\bacon\bacon.642.jpg	bacon	1.259
DS2GROCERIES\train\bacon\bacon.980.jpg	bacon	1.258
DS2GROCERIES\train\bacon\bacon.1056.jpg	bacon	1.257
DS2GROCERIES\train\bacon\bacon.619.jpg	bacon	1.255
DS2GROCERIES\train\bacon\bacon.312.jpg	bacon	1.254
DS2GROCERIES\train\bacon\bacon.558.jpg	bacon	1.253
DS2GROCERIES\train\bacon\bacon.1020.jpg	bacon	1.251
DS2GROCERIES\train\bacon\bacon.1032.jpg	bacon	1.251
DS2GROCERIES\train\bacon\bacon.584.jpg	bacon	1.250
DS2GROCERIES\train\bacon\bacon.116.jpg	bacon	1.249
DS2GROCERIES\train\bacon\bacon.1160.jpg	bacon	1.248
DS2GROCERIES\train\bacon\bacon.842.jpg	bacon	1.248
DS2GROCERIES\train\bacon\bacon.1138.jpg	bacon	1.247
DS2GROCERIES\train\bacon\bacon.872.jpg	bacon	1.245
DS2GROCERIES\train\banana\banana.1078.jpg	banana	1.748
DS2GROCERIES\train\banana\banana.517.jpg	banana	1.662
DS2GROCERIES\train\banana\banana.311.jpg	banana	1.642
DS2GROCERIES\train\banana\banana.1133.jpg	banana	1.641
DS2GROCERIES\train\banana\banana.67.jpg	banana	1.615
DS2GROCERIES\train\banana\banana.748.jpg	banana	1.614
DS2GROCERIES\train\banana\banana.255.jpg	banana	1.613
DS2GROCERIES\train\banana\banana.439.jpg	banana	1.610
DS2GROCERIES\train\banana\banana.721.jpg	banana	1.605
DS2GROCERIES\train\banana\banana.410.jpg	banana	1.603
DS2GROCERIES\train\banana\banana.915.jpg	banana	1.602
DS2GROCERIES\train\banana\banana.1192.jpg	banana	1.602
DS2GROCERIES\train\banana\banana.568.jpg	banana	1.595
DS2GROCERIES\train\banana\banana.841.jpg	banana	1.595
DS2GROCERIES\train\banana\banana.275.jpg	banana	1.591
DS2GROCERIES\train\banana\banana.37.jpg	banana	1.587
DS2GROCERIES\train\banana\banana.139.jpg	banana	1.586
DS2GROCERIES\train\banana\banana.417.jpg	banana	1.580
DS2GROCERIES\train\banana\banana.405.jpg	banana	1.579
DS2GROCERIES\train\banana\banana.455.jpg	banana	1.578
DS2GROCERIES\train\banana\banana.1208.jpg	banana	1.577
DS2GROCERIES\train\banana\banana.110.jpg	banana	1.573
DS2GROCERIES\train\banana\banana.1070.jpg	banana	1.572
DS2GROCERIES\train\banana\banana.651.jpg	banana	1.570
DS2GROCERIES\train\banana\banana.729.jpg	banana	1.563
DS2GROCERIES\train\banana\banana.479.jpg	banana	1.557
DS2GROCERIES\train\banana\banana.266.jpg	banana	1.557
DS2GROCERIES\train\banana\banana.1020.jpg	banana	1.557
DS2GROCERIES\train\banana\banana.425.jpg	banana	1.552
DS2GROCERIES\train\banana\banana.572.jpg	banana	1.549
DS2GROCERIES\train\banana\banana.1188.jpg	banana	1.549
DS2GROCERIES\train\banana\banana.162.jpg	banana	1.547
DS2GROCERIES\train\banana\banana.367.jpg	banana	1.546
DS2GROCERIES\train\banana\banana.10.jpg	banana	1.544
DS2GROCERIES\train\banana\banana.293.jpg	banana	1.541
DS2GROCERIES\train\banana\banana.6.jpg	banana	1.540
DS2GROCERIES\train\banana\banana.349.jpg	banana	1.539
DS2GROCERIES\train\banana\banana.804.jpg	banana	1.537
DS2GROCERIES\train\banana\banana.1025.jpg	banana	1.535
DS2GROCERIES\train\banana\banana.53.jpg	banana	1.534
DS2GROCERIES\train\banana\banana.820.jpg	banana	1.533
DS2GROCERIES\train\banana\banana.942.jpg	banana	1.532
DS2GROCERIES\train\banana\banana.404.jpg	banana	1.531
DS2GROCERIES\train\banana\banana.152.jpg	banana	1.531
DS2GROCERIES\train\banana\banana.843.jpg	banana	1.531
DS2GROCERIES\train\banana\banana.454.jpg	banana	1.530
DS2GROCERIES\train\banana\banana.514.jpg	banana	1.529
DS2GROCERIES\train\bread\bread.551.jpg	bread	1.620
DS2GROCERIES\train\bread\bread.359.jpg	bread	1.617
DS2GROCERIES\train\bread\bread.1155.jpg	bread	1.616
DS2GROCERIES\train\bread\bread.534.jpg	bread	1.615
DS2GROCERIES\train\bread\bread.1295.jpg	bread	1.613
DS2GROCERIES\train\bread\bread.857.jpg	bread	1.612
DS2GROCERIES\train\bread\bread.382.jpg	bread	1.609
DS2GROCERIES\train\bread\bread.1304.jpg	bread	1.608
DS2GROCERIES\train\bread\bread.1003.jpg	bread	1.606
DS2GROCERIES\train\bread\bread.1274.jpg	bread	1.601
DS2GROCERIES\train\bread\bread.1177.jpg	bread	1.600
DS2GROCERIES\train\bread\bread.171.jpg	bread	1.597
DS2GROCERIES\train\bread\bread.1283.jpg	bread	1.597
DS2GROCERIES\train\bread\bread.923.jpg	bread	1.597
DS2GROCERIES\train\bread\bread.603.jpg	bread	1.595
DS2GROCERIES\train\bread\bread.70.jpg	bread	1.595
DS2GROCERIES\train\bread\bread.888.jpg	bread	1.593
DS2GROCERIES\train\bread\bread.864.jpg	bread	1.592
DS2GROCERIES\train\bread\bread.328.jpg	bread	1.592
DS2GROCERIES\train\bread\bread.274.jpg	bread	1.592
DS2GROCERIES\train\bread\bread.352.jpg	bread	1.590
DS2GROCERIES\train\bread\bread.623.jpg	bread	1.587
DS2GROCERIES\train\bread\bread.1057.jpg	bread	1.587
DS2GROCERIES\train\bread\bread.264.jpg	bread	1.585
DS2GROCERIES\train\bread\bread.1065.jpg	bread	1.579
DS2GROCERIES\train\bread\bread.346.jpg	bread	1.575
DS2GROCERIES\train\bread\bread.922.jpg	bread	1.574
DS2GROCERIES\train\bread\bread.155.jpg	bread	1.570
DS2GROCERIES\train\bread\bread.1087.jpg	bread	1.570
DS2GROCERIES\train\bread\bread.568.jpg	bread	1.569
DS2GROCERIES\train\bread\bread.977.jpg	bread	1.568
DS2GROCERIES\train\bread\bread.672.jpg	bread	1.568
DS2GROCERIES\train\bread\bread.608.jpg	bread	1.567
DS2GROCERIES\train\bread\bread.56.jpg	bread	1.565
